"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1843","Elements page has correct title","webkit","Fri Mar 07 16:53:43 GMT 2025","passed","Fri Mar 07 16:53:45 GMT 2025","Elements page tests","elements.spec.ts","",""
"","1262","Checking if last radio button is disabled","firefox","Fri Mar 07 16:52:36 GMT 2025","passed","Fri Mar 07 16:52:37 GMT 2025","Radio page tests","radio.spec.ts","",""
"","1648","Selecting one radio test","firefox","Fri Mar 07 16:52:27 GMT 2025","passed","Fri Mar 07 16:52:29 GMT 2025","Radio page tests","radio.spec.ts","",""
"","3040","Prompt alert test","chromium","Fri Mar 07 16:49:55 GMT 2025","passed","Fri Mar 07 16:49:58 GMT 2025","Alert page tests","alert.spec.ts","",""
"","1739","Can get X and Y Coordinates","webkit","Fri Mar 07 16:53:13 GMT 2025","passed","Fri Mar 07 16:53:15 GMT 2025","Button page tests","button.spec.ts","",""
"","3114","Check git search functionality with valid user","webkit","Fri Mar 07 16:53:45 GMT 2025","passed","Fri Mar 07 16:53:48 GMT 2025","Elements page tests","elements.spec.ts","",""
"","1503","Can select India using value","firefox","Fri Mar 07 16:52:07 GMT 2025","passed","Fri Mar 07 16:52:08 GMT 2025","Dropdowns page tests","dropdowns.spec.ts","",""
"","6359","Can select Raj","chromium","Fri Mar 07 16:50:57 GMT 2025","passed","Fri Mar 07 16:51:04 GMT 2025","Table page tests","table.spec.ts","",""
"","1814","Total price is correct","chromium","Fri Mar 07 16:50:56 GMT 2025","passed","Fri Mar 07 16:50:57 GMT 2025","Table page tests","table.spec.ts","",""
"","2356","Check git search functionality with invalid user","firefox","Fri Mar 07 16:52:15 GMT 2025","passed","Fri Mar 07 16:52:18 GMT 2025","Elements page tests","elements.spec.ts","",""
"","2910","Alert page has correct title","firefox","Fri Mar 07 16:51:04 GMT 2025","passed","Fri Mar 07 16:51:07 GMT 2025","Alert page tests","alert.spec.ts","",""
"","2578","Confirm alert test","firefox","Fri Mar 07 16:51:11 GMT 2025","passed","Fri Mar 07 16:51:13 GMT 2025","Alert page tests","alert.spec.ts","",""
"","866","Confirm button is disabled","chromium","Fri Mar 07 16:50:05 GMT 2025","passed","Fri Mar 07 16:50:06 GMT 2025","Button page tests","button.spec.ts","",""
"","2005","Calendar page has correct title","firefox","Fri Mar 07 16:51:58 GMT 2025","passed","Fri Mar 07 16:52:00 GMT 2025","Calendar page tests","calender.spec.ts","",""
"","2094","Frame test 2","chromium","Fri Mar 07 16:50:37 GMT 2025","passed","Fri Mar 07 16:50:39 GMT 2025","Frame page tests","frame.spec.ts","",""
"","1656","Confirm button is disabled","webkit","Fri Mar 07 16:53:17 GMT 2025","passed","Fri Mar 07 16:53:18 GMT 2025","Button page tests","button.spec.ts","",""
"","1209","Radio page has correct title","chromium","Fri Mar 07 16:50:39 GMT 2025","passed","Fri Mar 07 16:50:40 GMT 2025","Radio page tests","radio.spec.ts","",""
"","3076","Frame page has correct title","firefox","Fri Mar 07 16:52:18 GMT 2025","passed","Fri Mar 07 16:52:21 GMT 2025","Frame page tests","frame.spec.ts","",""
"","1038","Navigation test","chromium","Fri Mar 07 16:50:02 GMT 2025","passed","Fri Mar 07 16:50:03 GMT 2025","Button page tests","button.spec.ts","",""
"","1808","Can select India using value","webkit","Fri Mar 07 16:53:38 GMT 2025","passed","Fri Mar 07 16:53:39 GMT 2025","Dropdowns page tests","dropdowns.spec.ts","",""
"","1831","Edit page has correct title","chromium","Fri Mar 07 16:50:22 GMT 2025","passed","Fri Mar 07 16:50:24 GMT 2025","Edit page tests","edit.spec.ts","",""
"","1103","Get button color","firefox","Fri Mar 07 16:51:19 GMT 2025","passed","Fri Mar 07 16:51:20 GMT 2025","Button page tests","button.spec.ts","",""
"","929","Can get Height and Width","chromium","Fri Mar 07 16:50:04 GMT 2025","passed","Fri Mar 07 16:50:05 GMT 2025","Button page tests","button.spec.ts","",""
"","1648","Button page has correct title","webkit","Fri Mar 07 16:53:07 GMT 2025","passed","Fri Mar 07 16:53:09 GMT 2025","Button page tests","button.spec.ts","",""
"","3257","Confirm alert test","chromium","Fri Mar 07 16:49:52 GMT 2025","passed","Fri Mar 07 16:49:55 GMT 2025","Alert page tests","alert.spec.ts","",""
"","3455","Frame test 2","webkit","Fri Mar 07 16:53:57 GMT 2025","passed","Fri Mar 07 16:54:00 GMT 2025","Frame page tests","frame.spec.ts","",""
"","2076","Confirm both radio buttons can be selected","chromium","Fri Mar 07 16:50:44 GMT 2025","passed","Fri Mar 07 16:50:46 GMT 2025","Radio page tests","radio.spec.ts","",""
"","1494","Can select India using value","chromium","Fri Mar 07 16:50:21 GMT 2025","passed","Fri Mar 07 16:50:22 GMT 2025","Dropdowns page tests","dropdowns.spec.ts","",""
"","2109","Checking if #notG radio button can be checked","webkit","Fri Mar 07 16:54:12 GMT 2025","passed","Fri Mar 07 16:54:14 GMT 2025","Radio page tests","radio.spec.ts","",""
"","1837","Table page has correct title","webkit","Fri Mar 07 16:54:18 GMT 2025","passed","Fri Mar 07 16:54:20 GMT 2025","Table page tests","table.spec.ts","",""
"","6927","Click and hold button","webkit","Fri Mar 07 16:53:18 GMT 2025","passed","Fri Mar 07 16:53:25 GMT 2025","Button page tests","button.spec.ts","",""
"","2174","Check git search functionality with valid user","firefox","Fri Mar 07 16:52:13 GMT 2025","passed","Fri Mar 07 16:52:15 GMT 2025","Elements page tests","elements.spec.ts","",""
"","2204","Can enter details and confirm other information","chromium","Fri Mar 07 16:50:24 GMT 2025","passed","Fri Mar 07 16:50:26 GMT 2025","Edit page tests","edit.spec.ts","",""
"","2108","Table page has correct title","chromium","Fri Mar 07 16:50:54 GMT 2025","passed","Fri Mar 07 16:50:56 GMT 2025","Table page tests","table.spec.ts","",""
"","3102","Frame page has correct title","webkit","Fri Mar 07 16:53:50 GMT 2025","passed","Fri Mar 07 16:53:53 GMT 2025","Frame page tests","frame.spec.ts","",""
"","1069","Can get X and Y Coordinates","firefox","Fri Mar 07 16:51:22 GMT 2025","passed","Fri Mar 07 16:51:23 GMT 2025","Button page tests","button.spec.ts","",""
"","1721","Can select apple using visible text","firefox","Fri Mar 07 16:52:04 GMT 2025","passed","Fri Mar 07 16:52:05 GMT 2025","Dropdowns page tests","dropdowns.spec.ts","",""
"","1565","Checking if terms and conditions radio button can be selected","firefox","Fri Mar 07 16:52:37 GMT 2025","passed","Fri Mar 07 16:52:39 GMT 2025","Radio page tests","radio.spec.ts","",""
"","1591","Checking if #notG radio button can be checked","firefox","Fri Mar 07 16:52:34 GMT 2025","passed","Fri Mar 07 16:52:36 GMT 2025","Radio page tests","radio.spec.ts","",""
"","2945","Simple alert test","firefox","Fri Mar 07 16:51:08 GMT 2025","passed","Fri Mar 07 16:51:11 GMT 2025","Alert page tests","alert.spec.ts","",""
"","2798","Confirm only one radio button can be selected","webkit","Fri Mar 07 16:54:04 GMT 2025","passed","Fri Mar 07 16:54:07 GMT 2025","Radio page tests","radio.spec.ts","",""
"","3132","Simple alert test","webkit","Fri Mar 07 16:52:55 GMT 2025","passed","Fri Mar 07 16:52:58 GMT 2025","Alert page tests","alert.spec.ts","",""
"","7058","Click and hold button","chromium","Fri Mar 07 16:50:06 GMT 2025","passed","Fri Mar 07 16:50:13 GMT 2025","Button page tests","button.spec.ts","",""
"","1092","Can get Height and Width","firefox","Fri Mar 07 16:51:23 GMT 2025","passed","Fri Mar 07 16:51:24 GMT 2025","Button page tests","button.spec.ts","",""
"","1819","Can get Height and Width","webkit","Fri Mar 07 16:53:15 GMT 2025","passed","Fri Mar 07 16:53:17 GMT 2025","Button page tests","button.spec.ts","",""
"","3066","Prompt alert test","firefox","Fri Mar 07 16:51:13 GMT 2025","passed","Fri Mar 07 16:51:16 GMT 2025","Alert page tests","alert.spec.ts","",""
"","1246","Calendar page has correct title","chromium","Fri Mar 07 16:50:13 GMT 2025","passed","Fri Mar 07 16:50:14 GMT 2025","Calendar page tests","calender.spec.ts","",""
"","2134","Checking if terms and conditions radio button can be selected","chromium","Fri Mar 07 16:50:51 GMT 2025","passed","Fri Mar 07 16:50:54 GMT 2025","Radio page tests","radio.spec.ts","",""
"","6829","Click and hold button","firefox","Fri Mar 07 16:51:50 GMT 2025","failed","Fri Mar 07 16:51:57 GMT 2025","Button page tests","button.spec.ts","",""
"","3400","Frame test 1","webkit","Fri Mar 07 16:53:53 GMT 2025","passed","Fri Mar 07 16:53:57 GMT 2025","Frame page tests","frame.spec.ts","",""
"","1807","Confirm both radio buttons can be selected","firefox","Fri Mar 07 16:52:31 GMT 2025","passed","Fri Mar 07 16:52:33 GMT 2025","Radio page tests","radio.spec.ts","",""
"","1746","Modern alert test","firefox","Fri Mar 07 16:51:17 GMT 2025","passed","Fri Mar 07 16:51:18 GMT 2025","Alert page tests","alert.spec.ts","",""
"","852","Can get X and Y Coordinates","chromium","Fri Mar 07 16:50:03 GMT 2025","passed","Fri Mar 07 16:50:04 GMT 2025","Button page tests","button.spec.ts","",""
"","2769","Simple alert test","chromium","Fri Mar 07 16:49:49 GMT 2025","passed","Fri Mar 07 16:49:52 GMT 2025","Alert page tests","alert.spec.ts","",""
"","1511","Dropdowns page has correct title","chromium","Fri Mar 07 16:50:16 GMT 2025","passed","Fri Mar 07 16:50:17 GMT 2025","Dropdowns page tests","dropdowns.spec.ts","",""
"","2678","Frame test 2","firefox","Fri Mar 07 16:52:23 GMT 2025","passed","Fri Mar 07 16:52:26 GMT 2025","Frame page tests","frame.spec.ts","",""
"","2325","Frame page has correct title","chromium","Fri Mar 07 16:50:32 GMT 2025","passed","Fri Mar 07 16:50:35 GMT 2025","Frame page tests","frame.spec.ts","",""
"","2453","Navigation test","webkit","Fri Mar 07 16:53:10 GMT 2025","passed","Fri Mar 07 16:53:13 GMT 2025","Button page tests","button.spec.ts","",""
"","1830","Get button color","webkit","Fri Mar 07 16:53:09 GMT 2025","passed","Fri Mar 07 16:53:10 GMT 2025","Button page tests","button.spec.ts","",""
"","1769","Can select last language","chromium","Fri Mar 07 16:50:19 GMT 2025","passed","Fri Mar 07 16:50:21 GMT 2025","Dropdowns page tests","dropdowns.spec.ts","",""
"","2315","Check git search functionality with valid user","chromium","Fri Mar 07 16:50:28 GMT 2025","passed","Fri Mar 07 16:50:30 GMT 2025","Elements page tests","elements.spec.ts","",""
"","1865","Alert page has correct title","chromium","Fri Mar 07 16:49:47 GMT 2025","passed","Fri Mar 07 16:49:49 GMT 2025","Alert page tests","alert.spec.ts","",""
"","3199","Confirm alert test","webkit","Fri Mar 07 16:52:58 GMT 2025","passed","Fri Mar 07 16:53:01 GMT 2025","Alert page tests","alert.spec.ts","",""
"","1734","Checking if #going radio button can be checked","firefox","Fri Mar 07 16:52:33 GMT 2025","passed","Fri Mar 07 16:52:34 GMT 2025","Radio page tests","radio.spec.ts","",""
"","1849","Checking if last radio button is disabled","webkit","Fri Mar 07 16:54:14 GMT 2025","passed","Fri Mar 07 16:54:16 GMT 2025","Radio page tests","radio.spec.ts","",""
"","1821","Can select apple using visible text","webkit","Fri Mar 07 16:53:34 GMT 2025","passed","Fri Mar 07 16:53:36 GMT 2025","Dropdowns page tests","dropdowns.spec.ts","",""
"","1404","Table page has correct title","firefox","Fri Mar 07 16:52:39 GMT 2025","passed","Fri Mar 07 16:52:40 GMT 2025","Table page tests","table.spec.ts","",""
"","5501","Can select Raj","firefox","Fri Mar 07 16:52:42 GMT 2025","passed","Fri Mar 07 16:52:47 GMT 2025","Table page tests","table.spec.ts","",""
"","1446","Checking if last radio button is disabled","chromium","Fri Mar 07 16:50:50 GMT 2025","passed","Fri Mar 07 16:50:51 GMT 2025","Radio page tests","radio.spec.ts","",""
"","1843","Can enter details and confirm other information","firefox","Fri Mar 07 16:52:10 GMT 2025","passed","Fri Mar 07 16:52:11 GMT 2025","Edit page tests","edit.spec.ts","",""
"","1433","Total price is correct","firefox","Fri Mar 07 16:52:40 GMT 2025","passed","Fri Mar 07 16:52:42 GMT 2025","Table page tests","table.spec.ts","",""
"","6289","Can select Raj","webkit","Fri Mar 07 16:54:22 GMT 2025","passed","Fri Mar 07 16:54:28 GMT 2025","Table page tests","table.spec.ts","",""
"","1896","Checking if #notG radio button can be checked","chromium","Fri Mar 07 16:50:48 GMT 2025","passed","Fri Mar 07 16:50:50 GMT 2025","Radio page tests","radio.spec.ts","",""
"","1835","Checking if #going radio button can be checked","chromium","Fri Mar 07 16:50:46 GMT 2025","passed","Fri Mar 07 16:50:48 GMT 2025","Radio page tests","radio.spec.ts","",""
"","2438","Frame test 1","firefox","Fri Mar 07 16:52:21 GMT 2025","passed","Fri Mar 07 16:52:23 GMT 2025","Frame page tests","frame.spec.ts","",""
"","2022","Check git search functionality with invalid user","chromium","Fri Mar 07 16:50:30 GMT 2025","passed","Fri Mar 07 16:50:32 GMT 2025","Elements page tests","elements.spec.ts","",""
"","1575","Check calendar functionality with random date","firefox","Fri Mar 07 16:52:01 GMT 2025","passed","Fri Mar 07 16:52:02 GMT 2025","Calendar page tests","calender.spec.ts","",""
"","1978","Can select last language","webkit","Fri Mar 07 16:53:36 GMT 2025","passed","Fri Mar 07 16:53:38 GMT 2025","Dropdowns page tests","dropdowns.spec.ts","",""
"","1911","Modern alert test","chromium","Fri Mar 07 16:49:58 GMT 2025","passed","Fri Mar 07 16:50:00 GMT 2025","Alert page tests","alert.spec.ts","",""
"","2479","Check calendar functionality with random date","webkit","Fri Mar 07 16:53:29 GMT 2025","passed","Fri Mar 07 16:53:32 GMT 2025","Calendar page tests","calender.spec.ts","",""
"","2078","Can enter details and confirm other information","webkit","Fri Mar 07 16:53:41 GMT 2025","passed","Fri Mar 07 16:53:43 GMT 2025","Edit page tests","edit.spec.ts","",""
"","1149","Button page has correct title","chromium","Fri Mar 07 16:50:00 GMT 2025","passed","Fri Mar 07 16:50:01 GMT 2025","Button page tests","button.spec.ts","",""
"","2388","Modern alert test","webkit","Fri Mar 07 16:53:05 GMT 2025","passed","Fri Mar 07 16:53:07 GMT 2025","Alert page tests","alert.spec.ts","",""
"","1107","Confirm button is disabled","firefox","Fri Mar 07 16:51:24 GMT 2025","passed","Fri Mar 07 16:51:25 GMT 2025","Button page tests","button.spec.ts","",""
"","3210","Prompt alert test","webkit","Fri Mar 07 16:53:01 GMT 2025","passed","Fri Mar 07 16:53:05 GMT 2025","Alert page tests","alert.spec.ts","",""
"","1386","Edit page has correct title","firefox","Fri Mar 07 16:52:08 GMT 2025","passed","Fri Mar 07 16:52:10 GMT 2025","Edit page tests","edit.spec.ts","",""
"","1459","Elements page has correct title","firefox","Fri Mar 07 16:52:12 GMT 2025","passed","Fri Mar 07 16:52:13 GMT 2025","Elements page tests","elements.spec.ts","",""
"","2020","Selecting one radio test","webkit","Fri Mar 07 16:54:02 GMT 2025","passed","Fri Mar 07 16:54:04 GMT 2025","Radio page tests","radio.spec.ts","",""
"","1459","Radio page has correct title","firefox","Fri Mar 07 16:52:26 GMT 2025","passed","Fri Mar 07 16:52:27 GMT 2025","Radio page tests","radio.spec.ts","",""
"","2265","Checking if terms and conditions radio button can be selected","webkit","Fri Mar 07 16:54:16 GMT 2025","passed","Fri Mar 07 16:54:18 GMT 2025","Radio page tests","radio.spec.ts","",""
"","2900","Confirm both radio buttons can be selected","webkit","Fri Mar 07 16:54:07 GMT 2025","passed","Fri Mar 07 16:54:10 GMT 2025","Radio page tests","radio.spec.ts","",""
"","1904","Elements page has correct title","chromium","Fri Mar 07 16:50:26 GMT 2025","passed","Fri Mar 07 16:50:28 GMT 2025","Elements page tests","elements.spec.ts","",""
"","1839","Confirm only one radio button can be selected","firefox","Fri Mar 07 16:52:29 GMT 2025","passed","Fri Mar 07 16:52:31 GMT 2025","Radio page tests","radio.spec.ts","",""
"","2395","Check git search functionality with invalid user","webkit","Fri Mar 07 16:53:48 GMT 2025","passed","Fri Mar 07 16:53:50 GMT 2025","Elements page tests","elements.spec.ts","",""
"","1624","Calendar page has correct title","webkit","Fri Mar 07 16:53:25 GMT 2025","passed","Fri Mar 07 16:53:27 GMT 2025","Calendar page tests","calender.spec.ts","",""
"","1428","Check calendar functionality with random date","chromium","Fri Mar 07 16:50:14 GMT 2025","passed","Fri Mar 07 16:50:16 GMT 2025","Calendar page tests","calender.spec.ts","",""
"","2458","Frame test 1","chromium","Fri Mar 07 16:50:35 GMT 2025","passed","Fri Mar 07 16:50:37 GMT 2025","Frame page tests","frame.spec.ts","",""
"","1683","Confirm only one radio button can be selected","chromium","Fri Mar 07 16:50:42 GMT 2025","passed","Fri Mar 07 16:50:44 GMT 2025","Radio page tests","radio.spec.ts","",""
"","1293","Dropdowns page has correct title","firefox","Fri Mar 07 16:52:02 GMT 2025","passed","Fri Mar 07 16:52:04 GMT 2025","Dropdowns page tests","dropdowns.spec.ts","",""
"","1497","Can select apple using visible text","chromium","Fri Mar 07 16:50:17 GMT 2025","passed","Fri Mar 07 16:50:19 GMT 2025","Dropdowns page tests","dropdowns.spec.ts","",""
"","5942","Alert page has correct title","webkit","Fri Mar 07 16:52:48 GMT 2025","passed","Fri Mar 07 16:52:54 GMT 2025","Alert page tests","alert.spec.ts","",""
"","1377","Can select last language","firefox","Fri Mar 07 16:52:05 GMT 2025","passed","Fri Mar 07 16:52:07 GMT 2025","Dropdowns page tests","dropdowns.spec.ts","",""
