"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1698","Table page has correct title","webkit","Fri Mar 07 14:01:04 GMT 2025","passed","Fri Mar 07 14:01:06 GMT 2025","Table page tests","table.spec.ts","",""
"","2314","Check calendar functionality with random date","chromium","Fri Mar 07 13:56:58 GMT 2025","passed","Fri Mar 07 13:57:00 GMT 2025","Calendar page tests","calender.spec.ts","",""
"","5411","Can select Raj","firefox","Fri Mar 07 13:59:13 GMT 2025","passed","Fri Mar 07 13:59:18 GMT 2025","Table page tests","table.spec.ts","",""
"","2199","Can select apple using visible text","chromium","Fri Mar 07 13:57:02 GMT 2025","passed","Fri Mar 07 13:57:04 GMT 2025","Dropdowns page tests","dropdowns.spec.ts","",""
"","1965","Total price is correct","webkit","Fri Mar 07 14:01:06 GMT 2025","passed","Fri Mar 07 14:01:08 GMT 2025","Table page tests","table.spec.ts","",""
"","3494","Simple alert test","chromium","Fri Mar 07 13:56:29 GMT 2025","passed","Fri Mar 07 13:56:33 GMT 2025","Alert page tests","alert.spec.ts","",""
"","3176","Frame page has correct title","webkit","Fri Mar 07 14:00:32 GMT 2025","passed","Fri Mar 07 14:00:35 GMT 2025","Frame page tests","frame.spec.ts","",""
"","2142","Confirm only one radio button can be selected","chromium","Fri Mar 07 13:57:32 GMT 2025","passed","Fri Mar 07 13:57:34 GMT 2025","Radio page tests","radio.spec.ts","",""
"","1977","Calendar page has correct title","webkit","Fri Mar 07 13:59:55 GMT 2025","passed","Fri Mar 07 13:59:57 GMT 2025","Calendar page tests","calender.spec.ts","",""
"","2116","Alert page has correct title","firefox","Fri Mar 07 13:57:57 GMT 2025","passed","Fri Mar 07 13:57:59 GMT 2025","Alert page tests","alert.spec.ts","",""
"","1401","Dropdowns page has correct title","firefox","Fri Mar 07 13:58:35 GMT 2025","passed","Fri Mar 07 13:58:36 GMT 2025","Dropdowns page tests","dropdowns.spec.ts","",""
"","2232","Modern alert test","chromium","Fri Mar 07 13:56:39 GMT 2025","passed","Fri Mar 07 13:56:42 GMT 2025","Alert page tests","alert.spec.ts","",""
"","1703","Check git search functionality with invalid user","firefox","Fri Mar 07 13:58:47 GMT 2025","passed","Fri Mar 07 13:58:49 GMT 2025","Elements page tests","elements.spec.ts","",""
"","1805","Edit page has correct title","webkit","Fri Mar 07 14:00:16 GMT 2025","passed","Fri Mar 07 14:00:18 GMT 2025","Edit page tests","edit.spec.ts","",""
"","2184","Checking if #going radio button can be checked","chromium","Fri Mar 07 13:57:36 GMT 2025","passed","Fri Mar 07 13:57:38 GMT 2025","Radio page tests","radio.spec.ts","",""
"","1702","Check git search functionality with invalid user","chromium","Fri Mar 07 13:57:18 GMT 2025","passed","Fri Mar 07 13:57:20 GMT 2025","Elements page tests","elements.spec.ts","",""
"","3275","Check git search functionality with valid user","chromium","Fri Mar 07 13:57:15 GMT 2025","passed","Fri Mar 07 13:57:18 GMT 2025","Elements page tests","elements.spec.ts","",""
"","3751","Frame test 1","webkit","Fri Mar 07 14:00:35 GMT 2025","passed","Fri Mar 07 14:00:38 GMT 2025","Frame page tests","frame.spec.ts","",""
"","2830","Frame page has correct title","firefox","Fri Mar 07 13:58:49 GMT 2025","passed","Fri Mar 07 13:58:52 GMT 2025","Frame page tests","frame.spec.ts","",""
"","1494","Radio page has correct title","webkit","Fri Mar 07 14:00:41 GMT 2025","passed","Fri Mar 07 14:00:43 GMT 2025","Radio page tests","radio.spec.ts","",""
"","2885","Modern alert test","webkit","Fri Mar 07 13:59:33 GMT 2025","passed","Fri Mar 07 13:59:36 GMT 2025","Alert page tests","alert.spec.ts","",""
"","1609","Confirm button is disabled","webkit","Fri Mar 07 13:59:46 GMT 2025","passed","Fri Mar 07 13:59:48 GMT 2025","Button page tests","button.spec.ts","",""
"","835","Can get Height and Width","chromium","Fri Mar 07 13:56:47 GMT 2025","passed","Fri Mar 07 13:56:48 GMT 2025","Button page tests","button.spec.ts","",""
"","2348","Can enter details and confirm other information","chromium","Fri Mar 07 13:57:11 GMT 2025","passed","Fri Mar 07 13:57:13 GMT 2025","Edit page tests","edit.spec.ts","",""
"","1574","Selecting one radio test","firefox","Fri Mar 07 13:58:58 GMT 2025","passed","Fri Mar 07 13:59:00 GMT 2025","Radio page tests","radio.spec.ts","",""
"","2614","Dropdowns page has correct title","webkit","Fri Mar 07 14:00:02 GMT 2025","passed","Fri Mar 07 14:00:05 GMT 2025","Dropdowns page tests","dropdowns.spec.ts","",""
"","1643","Checking if terms and conditions radio button can be selected","firefox","Fri Mar 07 13:59:08 GMT 2025","passed","Fri Mar 07 13:59:10 GMT 2025","Radio page tests","radio.spec.ts","",""
"","1985","Selecting one radio test","webkit","Fri Mar 07 14:00:43 GMT 2025","passed","Fri Mar 07 14:00:45 GMT 2025","Radio page tests","radio.spec.ts","",""
"","3450","Confirm alert test","webkit","Fri Mar 07 13:59:27 GMT 2025","passed","Fri Mar 07 13:59:30 GMT 2025","Alert page tests","alert.spec.ts","",""
"","1587","Checking if last radio button is disabled","webkit","Fri Mar 07 14:00:54 GMT 2025","passed","Fri Mar 07 14:00:56 GMT 2025","Radio page tests","radio.spec.ts","",""
"","2036","Confirm both radio buttons can be selected","chromium","Fri Mar 07 13:57:34 GMT 2025","passed","Fri Mar 07 13:57:36 GMT 2025","Radio page tests","radio.spec.ts","",""
"","795","Get button color","chromium","Fri Mar 07 13:56:44 GMT 2025","passed","Fri Mar 07 13:56:44 GMT 2025","Button page tests","button.spec.ts","",""
"","1264","Button page has correct title","firefox","Fri Mar 07 13:58:10 GMT 2025","passed","Fri Mar 07 13:58:11 GMT 2025","Button page tests","button.spec.ts","",""
"","2394","Alert page has correct title","chromium","Fri Mar 07 13:56:27 GMT 2025","passed","Fri Mar 07 13:56:29 GMT 2025","Alert page tests","alert.spec.ts","",""
"","2388","Total price is correct","chromium","Fri Mar 07 13:57:47 GMT 2025","passed","Fri Mar 07 13:57:49 GMT 2025","Table page tests","table.spec.ts","",""
"","1593","Navigation test","firefox","Fri Mar 07 13:58:12 GMT 2025","passed","Fri Mar 07 13:58:14 GMT 2025","Button page tests","button.spec.ts","",""
"","3747","Can enter details and confirm other information","webkit","Fri Mar 07 14:00:18 GMT 2025","passed","Fri Mar 07 14:00:22 GMT 2025","Edit page tests","edit.spec.ts","",""
"","1230","Navigation test","chromium","Fri Mar 07 13:56:44 GMT 2025","passed","Fri Mar 07 13:56:46 GMT 2025","Button page tests","button.spec.ts","",""
"","3241","Simple alert test","webkit","Fri Mar 07 13:59:23 GMT 2025","passed","Fri Mar 07 13:59:27 GMT 2025","Alert page tests","alert.spec.ts","",""
"","1322","Checking if last radio button is disabled","firefox","Fri Mar 07 13:59:07 GMT 2025","passed","Fri Mar 07 13:59:08 GMT 2025","Radio page tests","radio.spec.ts","",""
"","984","Can get X and Y Coordinates","firefox","Fri Mar 07 13:58:14 GMT 2025","passed","Fri Mar 07 13:58:15 GMT 2025","Button page tests","button.spec.ts","",""
"","2898","Frame test 2","webkit","Fri Mar 07 14:00:38 GMT 2025","passed","Fri Mar 07 14:00:41 GMT 2025","Frame page tests","frame.spec.ts","",""
"","2744","Check calendar functionality with random date","webkit","Fri Mar 07 13:59:59 GMT 2025","passed","Fri Mar 07 14:00:02 GMT 2025","Calendar page tests","calender.spec.ts","",""
"","1492","Check calendar functionality with random date","firefox","Fri Mar 07 13:58:34 GMT 2025","passed","Fri Mar 07 13:58:35 GMT 2025","Calendar page tests","calender.spec.ts","",""
"","1249","Radio page has correct title","firefox","Fri Mar 07 13:58:57 GMT 2025","passed","Fri Mar 07 13:58:58 GMT 2025","Radio page tests","radio.spec.ts","",""
"","1994","Selecting one radio test","chromium","Fri Mar 07 13:57:30 GMT 2025","passed","Fri Mar 07 13:57:32 GMT 2025","Radio page tests","radio.spec.ts","",""
